Size of some signed C types, in bytes:
 1 char
 2 short
 4 int
 8 long
 8 long long
 1 uint8_t
 2 uint16_t
 4 uint32_t
 8 uint64_t
Size of some unsigned C types, in bytes:
 1 unsigned char
 2 unsigned short
 4 unsigned int
 8 unsigned long
 8 unsigned long long
 8 size_t
Size of pointers, in bytes:
 8 void *
 8 char *
22 elements in array sizes_bytes

stride_direction	-1
size_bytes	1	4	16	32	64	128	256	512	1024
256	0.124251	0.095918	0.118694	0.102882	-	-	-	-	-
1024	0.108103	0.101318	0.096579	0.102115	0.121536	0.117241	-	-	-
2048	0.125428	0.116381	0.085876	0.089687	0.099691	0.118964	0.114883	-	-
4096	0.125002	0.118709	0.105441	0.085485	0.089216	0.098269	0.117930	0.112403	-
8192	0.121654	0.123358	0.104062	0.107492	0.084447	0.088986	0.097566	0.116730	0.112398
16384	0.124904	0.121040	0.107444	0.107722	0.105104	0.087372	0.087212	0.097401	0.116382
32768	0.123327	0.122253	0.118929	0.110603	0.105651	0.106672	0.083488	0.087225	0.097403
65536	0.125486	0.122737	0.121706	0.118984	0.113431	0.101665	0.108131	0.084472	0.087147
131072	0.123451	0.124057	0.122856	0.120594	0.122552	0.110329	0.107965	0.109413	0.087243
262144	0.123223	0.124042	0.154004	0.154642	0.156609	0.157376	0.154131	0.128265	0.119971
524288	0.123181	0.124413	0.153941	0.154196	0.154621	0.153647	0.153628	0.154153	0.211819
1048576	0.124729	0.123499	0.153776	0.153944	0.153724	0.155108	0.153490	0.153839	0.212657
2097152	0.123784	0.123176	0.153525	0.154462	0.153917	0.154433	0.154319	0.153809	0.211781
4194304	0.125408	0.125721	0.154825	0.160361	0.154944	0.154844	0.154740	0.155443	0.199759
8388608	0.125809	0.123639	0.156637	0.156511	0.157729	0.156574	0.158109	0.158765	0.205077
16777216	0.126401	0.125354	0.171252	0.317095	0.359372	0.344113	0.323849	0.342197	0.560149
33554432	0.125036	0.130165	0.208193	0.543272	0.552017	0.573935	0.564628	0.572954	0.875671
67108864	0.122470	0.125063	0.252752	0.673788	0.654638	0.576741	0.576123	0.587431	0.901025
134217728	0.123281	0.124162	0.273913	0.786964	0.821267	0.761556	0.591117	0.571046	0.904022
268435456	0.125310	0.124425	0.277760	0.821346	0.885037	0.935061	0.838853	0.587988	0.901343
536870912	0.127032	0.126005	0.278625	0.829465	0.899963	0.983719	1.019578	0.864799	0.906499
1073741824	0.126325	0.125593	0.278810	0.836417	0.902313	0.993771	1.052485	1.051086	0.974264

stride_direction	1
size_bytes	1	4	16	32	64	128	256	512	1024
256	0.010783	0.094923	0.122911	0.086595	-	-	-	-	-
1024	0.007201	0.085172	0.094159	0.102241	0.120550	0.091683	-	-	-
2048	0.007239	0.094775	0.085800	0.091190	0.102395	0.118165	0.087987	-	-
4096	0.007989	0.087410	0.081580	0.085032	0.092675	0.101226	0.116768	0.086449	-
8192	0.008474	0.082052	0.092178	0.081639	0.083430	0.088064	0.096990	0.116800	0.087078
16384	0.009238	0.080200	0.085585	0.091927	0.080654	0.084224	0.087533	0.096912	0.116593
32768	0.009436	0.078376	0.081802	0.085943	0.093002	0.079915	0.082783	0.086768	0.097232
65536	0.009690	0.078102	0.079767	0.081634	0.090472	0.092557	0.080377	0.085066	0.091785
131072	0.009829	0.099521	0.089605	0.090912	0.089287	0.088139	0.093365	0.080823	0.084454
262144	0.011452	0.100099	0.154032	0.153963	0.154160	0.154245	0.153534	0.126392	0.104203
524288	0.011491	0.101147	0.154592	0.154595	0.154734	0.154048	0.153734	0.154593	0.197513
1048576	0.011455	0.100668	0.153685	0.154416	0.153554	0.153959	0.154536	0.154618	0.198222
2097152	0.011409	0.101505	0.154130	0.153494	0.159232	0.154256	0.153785	0.153746	0.213433
4194304	0.011298	0.098082	0.153666	0.154320	0.153718	0.153576	0.153980	0.154280	0.213013
8388608	0.011586	0.100809	0.155330	0.154715	0.154852	0.155386	0.155956	0.156578	0.219071
16777216	0.012919	0.100549	0.168855	0.316579	0.350836	0.317759	0.335465	0.339972	0.561309
33554432	0.015600	0.100391	0.231586	0.556894	0.554276	0.559409	0.565861	0.561391	0.877462
67108864	0.016706	0.100724	0.255266	0.676882	0.649133	0.576724	0.578022	0.570654	0.898836
134217728	0.017419	0.101562	0.271556	0.783408	0.826499	0.764576	0.584705	0.574385	0.900784
268435456	0.017949	0.102961	0.276090	0.820096	0.889103	0.933039	0.835423	0.595902	0.902339
536870912	0.017909	0.102476	0.277352	0.827893	0.901289	0.980434	1.020044	0.873614	0.911586
1073741824	0.017781	0.102484	0.280125	0.832748	0.920524	0.993125	1.054468	1.050082	0.977750
