Size of some signed C types, in bytes:
 1 char
 2 short
 4 int
 8 long
 8 long long
 1 uint8_t
 2 uint16_t
 4 uint32_t
 8 uint64_t
Size of some unsigned C types, in bytes:
 1 unsigned char
 2 unsigned short
 4 unsigned int
 8 unsigned long
 8 unsigned long long
 8 size_t
Size of pointers, in bytes:
 8 void *
 8 char *
22 elements in array sizes_bytes

stride_direction	-1
size_bytes	1	4	16	32	64	128	256	512	1024
256	0.112277	0.088544	0.110449	0.106270	-	-	-	-	-
1024	0.090880	0.095232	0.093543	0.094144	0.108283	0.110743	-	-	-
2048	0.085629	0.104635	0.089661	0.089095	0.090311	0.104120	0.111236	-	-
4096	0.092682	0.103456	0.094166	0.096438	0.093533	0.089718	0.105816	0.114631	-
8192	0.090021	0.104341	0.126172	0.100352	0.091828	0.087879	0.086468	0.100660	0.104823
16384	0.084314	0.093272	0.096179	0.107643	0.092764	0.091366	0.086694	0.085325	0.101624
32768	0.083791	0.094588	0.101983	0.105906	0.105365	0.092171	0.097148	0.093664	0.090676
65536	0.086687	0.098280	0.110436	0.120481	0.156416	0.188624	0.164256	0.097631	0.091599
131072	0.080207	0.093933	0.100448	0.108773	0.139862	0.138367	0.147183	0.145962	0.135418
262144	0.083018	0.090025	0.100766	0.112953	0.148741	0.147313	0.149502	0.147959	0.209937
524288	0.084984	0.106997	0.251311	0.336500	0.365744	0.349587	0.331718	0.316082	0.313137
1048576	0.094397	0.114470	0.253148	0.325493	0.373513	0.375287	0.370096	0.410529	0.320530
2097152	0.085648	0.103557	0.235429	0.326836	0.403482	0.400998	0.357750	0.341093	0.329112
4194304	0.101193	0.106471	0.237624	0.326571	0.400412	0.383489	0.361677	0.407599	0.330080
8388608	0.091892	0.116212	0.265677	0.373153	0.434992	0.409603	0.493277	0.573120	1.210855
16777216	0.139705	0.230065	0.652030	0.938253	1.145140	1.349404	1.469503	1.663511	2.669607
33554432	0.160351	0.284792	1.321917	2.624105	3.072424	3.376623	4.029132	4.011592	3.744228
67108864	0.156423	0.275986	1.621382	3.102621	3.828062	4.451515	4.441350	4.432551	4.276020
134217728	0.152480	0.277935	1.864007	3.405638	4.138581	4.797248	4.465028	4.783993	4.271163
268435456	0.148401	0.278999	1.868777	3.481398	4.179831	4.757040	4.932109	5.367822	4.728253
536870912	0.154774	0.281588	1.925257	3.541840	4.313457	4.912059	4.886108	5.321233	4.442218
1073741824	0.156861	0.285653	1.892069	3.743917	4.288728	4.829141	4.913846	5.315595	4.596517

stride_direction	1
size_bytes	1	4	16	32	64	128	256	512	1024
256	0.026969	0.084524	0.108515	0.104330	-	-	-	-	-
1024	0.010104	0.079813	0.077788	0.092069	0.105663	0.108775	-	-	-
2048	0.009313	0.085229	0.070965	0.071592	0.085307	0.100696	0.104679	-	-
4096	0.009746	0.079671	0.078273	0.071542	0.072121	0.086729	0.102226	0.102000	-
8192	0.009053	0.075799	0.082146	0.067956	0.069193	0.065725	0.082883	0.099491	0.103042
16384	0.008601	0.075893	0.080354	0.083975	0.071528	0.074597	0.071903	0.086832	0.100957
32768	0.008353	0.074041	0.076523	0.080344	0.085383	0.068612	0.066741	0.066560	0.083833
65536	0.016590	0.065125	0.086180	0.113663	0.152129	0.150175	0.111882	0.072348	0.073021
131072	0.015879	0.061112	0.082256	0.106076	0.140099	0.137415	0.131465	0.138225	0.116688
262144	0.015448	0.060205	0.092864	0.112075	0.143984	0.147231	0.147105	0.144202	0.206347
524288	0.020473	0.089796	0.233515	0.312616	0.354761	0.361513	0.362010	0.337414	0.313858
1048576	0.021478	0.086848	0.215166	0.307191	0.391329	0.407907	0.384892	0.368162	0.326627
2097152	0.032383	0.090473	0.218078	0.300048	0.389349	0.401650	0.386730	0.375908	0.320229
4194304	0.019960	0.086342	0.213567	0.301634	0.395124	0.434488	0.411184	0.384418	0.326145
8388608	0.023260	0.101580	0.255660	0.368513	0.442910	0.407184	0.497002	0.566429	1.053562
16777216	0.036083	0.165863	0.614944	0.895648	1.118908	1.403618	1.567278	1.781660	2.583682
33554432	0.069487	0.246315	1.293792	2.751860	3.526790	3.829883	3.904288	4.312556	4.236703
67108864	0.066803	0.245301	1.606313	3.451736	3.896612	4.351185	4.359607	4.818213	4.510286
134217728	0.061822	0.251984	1.997268	3.393137	4.295508	4.658914	4.673806	5.238105	4.332287
268435456	0.061323	0.251338	2.051767	3.481363	4.220931	4.870546	4.859710	5.294857	4.582609
536870912	0.061904	0.251946	2.078179	3.528084	4.277829	4.873046	4.988558	5.361023	4.574349
1073741824	0.060756	0.256248	2.073516	3.475196	4.270941	4.838365	4.940316	5.337239	4.661766
